,bu_code,bu_naam,gemeente,provincie,netbeheerder,NAL_regio,RES_regio,Jaar,aantal_personenautos,aantal_evs_L,thuislaadpunten_L,werklaadpunten_L,publiekelaadpunten_L,bestemmingslaadpunten_L,laadpunten_parkeergarages_L,laadpunten_parkeerpleinen_L,snellaadpunten_L,vermogen_snellaadpunten_L,aantal_evs_M,thuislaadpunten_M,werklaadpunten_M,publiekelaadpunten_M,bestemmingslaadpunten_M,laadpunten_parkeergarages_M,laadpunten_parkeerpleinen_M,snellaadpunten_M,vermogen_snellaadpunten_M,aantal_evs_H,thuislaadpunten_H,werklaadpunten_H,publiekelaadpunten_H,bestemmingslaadpunten_H,laadpunten_parkeergarages_H,laadpunten_parkeerpleinen_H,snellaadpunten_H,vermogen_snellaadpunten_H,datum_bijgewerkt
12117,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2044,1153.802083,847.2548851,186.0570774,69.33742819,110.89769,30.6151711,0.0,0.0,0.155800595,11.68504463,1153.802083,242.6,78.93330889,134.4260272,35.20654545,0.0,0.0,0.178166319,13.36247393,1153.802083,242.6,78.93330889,134.4260272,35.20654545,0.0,0.0,0.178166319,13.36247393,2024-02-28
12118,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2045,1156.039258,963.0004364,207.0627108,71.57445917,123.0642388,31.65493854,0.0,0.0,0.161303294,12.09774705,1156.039258,242.6,78.93331256,134.7456236,35.20654545,0.0,0.0,0.178621987,13.39664905,1156.039258,242.6,78.93331256,134.7456236,35.20654545,0.0,0.0,0.178621987,13.39664905,2024-02-28
12119,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2046,1158.79358,1116.279846,234.7920794,73.89496513,139.3703806,32.65195861,0.0,0.0,0.166527356,12.48955171,1158.79358,242.6,78.93331592,135.1390981,35.20654545,0.0,0.0,0.178986522,13.42398915,1158.79358,242.6,78.93331592,135.1390981,35.20654545,0.0,0.0,0.178986522,13.42398915,2024-02-28
12120,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2047,1163.424338,1163.424338,242.6,76.23934188,142.0443423,33.59416332,0.0,0.0,0.1714904,12.86177998,1163.424338,242.6,78.93331927,135.800635,35.20654545,0.0,0.0,0.179351057,13.45132925,1163.424338,242.6,78.93331927,135.800635,35.20654545,0.0,0.0,0.179351057,13.45132925,2024-02-28
12121,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2048,1170.909536,1170.909536,242.6,78.29513259,139.9456782,34.48569931,0.0,0.0,0.176212878,13.21596586,1170.909536,242.6,78.93332265,136.869949,35.20654545,0.0,0.0,0.179715591,13.47866935,1170.909536,242.6,78.93332265,136.869949,35.20654545,0.0,0.0,0.179715591,13.47866935,2024-02-28
12122,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2049,1174.954715,1174.954715,242.6,78.933326,137.4478317,35.20654545,0.0,0.0,0.179988992,13.49917443,1174.954715,242.6,78.933326,137.4478317,35.20654545,0.0,0.0,0.179988992,13.49917443,1174.954715,242.6,78.933326,137.4478317,35.20654545,0.0,0.0,0.179988992,13.49917443,2024-02-28
12123,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2050,1176.667297,1176.667297,242.6,78.93332936,137.6924863,35.20654545,0.0,0.0,0.180353527,13.52651453,1176.667297,242.6,78.93332936,137.6924863,35.20654545,0.0,0.0,0.180353527,13.52651453,1176.667297,242.6,78.93332936,137.6924863,35.20654545,0.0,0.0,0.180353527,13.52651453,2024-02-28
12124,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2023,2156.404545,105.4701498,69.4100649,13.74511602,34.46674049,4.257179626,0.0,14.0,0.517123098,42.4883486,105.4701498,69.4100649,13.74511602,34.46674049,4.257179626,0.0,14.0,0.517123098,42.4883486,105.4701498,69.4100649,13.74511602,34.46674049,4.257179626,0.0,14.0,0.517123098,42.4883486,2024-02-28
12125,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2024,2166.568507,127.4627749,69.83944575,15.15984686,39.6225623,4.790518693,0.0,14.0,0.586063179,48.15266761,132.0192606,69.92879001,15.44799514,40.56780222,4.888995263,0.0,14.0,0.597138482,49.062647,136.5745794,70.01811138,15.22730949,41.55411864,4.994307906,0.0,14.0,0.609166597,50.05091215,2024-02-28
12126,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2025,2162.276942,152.641042,70.35313514,16.81882073,45.23638521,5.402448712,0.0,14.0,0.661381069,54.34100608,163.7483792,70.57238411,17.51589713,47.47660232,5.638254608,0.0,14.0,0.688304125,56.55308325,175.3056887,70.80051513,17.06093876,49.8905739,5.897894068,0.0,14.0,0.718333983,59.02042437,2024-02-28
12127,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2026,2158.892356,181.5236332,70.94887893,18.69515213,51.39763511,6.069437132,0.0,14.0,0.743262652,61.06863683,201.679638,71.34958614,19.94761033,55.34765275,6.488269567,0.0,14.0,0.791613611,65.04129323,223.4857359,71.78309768,19.23519567,59.73893857,6.962811983,0.0,14.0,0.846984303,69.59071156,2024-02-28
12128,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2027,2151.068521,214.1714277,71.64175604,20.74193873,58.04909588,6.80041955,0.0,14.0,0.832625277,68.41093189,246.4492702,72.29005445,22.73123933,64.19603036,7.45751683,0.0,14.0,0.909103307,74.69459091,282.7284867,73.01872021,21.73206397,71.24140364,8.223556339,0.0,14.0,0.999042034,82.08422016,2024-02-28
